Question ID,Answer
165921,wilmot_proviso
165935,battle_of_antietam
102459,francisco_franco
4179,hanseatic_league
4186,justinian_i
149709,peterloo_massacre
4396,war_of_the_spanish_succession
2359,horace_greeley
110908,seminole_wars
104790,bonus_army
100716,marcus_licinius_crassus
2450,genghis_khan
102774,crimean_war
188818,william_tecumseh_sherman
188825,jimmy_carter
188846,war_of_devolution
170415,leon_trotsky
164339,battle_of_salamis
143871,john_brown_(abolitionist)
143885,wilmot_proviso
109088,han_dynasty
102977,taiping_rebellion
2639,marcus_licinius_crassus
3864,"mary,_queen_of_scots"
2709,parthian_empire
105161,teutonic_knights
115409,seneca_falls_convention
3535,first_crusade
105217,cyrus_the_great
160531,william_tecumseh_sherman
152390,equal_rights_amendment
2919,girolamo_savonarola
162743,charles_martel
115710,martin_van_buren
179200,martin_luther
177177,john_cabot
3150,council_of_trent
105322,daniel_boone
3206,golden_horde
140462,congress_of_vienna
183477,james_g._blaine
185549,jacques_cartier
109781,golden_horde
183519,babur
183526,long_march
148722,taiping_rebellion
146685,thomas_jefferson
105728,council_of_trent
183589,marcus_garvey
3402,crimean_war
157024,battle_of_agincourt
107891,justinian_i
163219,teapot_dome_scandal
3479,caligula
107954,council_of_chalcedon
3507,edward_the_confessor
122297,mali_empire
163268,battle_of_trafalgar
187852,john_cabot
187887,atlantic_charter
187894,caligula
187915,henry_vii_of_england
187922,hadrian
187936,ronald_reagan
187950,darius_i
146013,roger_b._taney
167475,oregon_trail
187957,battle_of_actium
187964,battle_of_caporetto
187971,james_g._blaine
122465,chester_a._arthur
1617,trent_affair
187999,council_of_chalcedon
188006,bonus_army
188020,roger_williams_(theologian)
173691,benjamin_harrison
116333,jefferson_davis
3731,john_foster_dulles
179865,zebulon_pike
153244,gamal_abdel_nasser
116382,treaty_of_waitangi
155421,william_jennings_bryan
175924,council_of_trent
186165,meiji_restoration
106316,tammany_hall
147308,pancho_villa
1911,maine
3997,prague_spring
147385,ulysses_s._grant
184275,mali_empire
4053,genghis_khan
147427,gadsden_purchase
151529,battle_of_hastings
184310,thirty_years'_war
155666,sherwood_anderson
7161,volpone
6188,the_idiot
116403,margaret_atwood
184387,brave_new_world
6223,the_crying_of_lot_49
174202,aldous_huxley
106631,the_master_builder
188104,daniel_deronda
108745,the_importance_of_being_earnest
144774,truman_capote
176841,bleak_house
