Question ID,Answer
165921,wilmot_proviso
165935,battle_of_blenheim
102459,francisco_franco
4179,hanseatic_league
4186,byzantine_empire
149709,peterloo_massacre
4396,samuel_adams
2359,horace_greeley
110908,lewis_cass
104790,bonus_army
100716,marcus_licinius_crassus
2450,byzantine_empire
102774,hanseatic_league
188818,franklin_pierce
188825,jimmy_carter
188846,ivan_the_terrible
170415,leon_trotsky
164339,battle_of_salamis
143871,portugal
143885,wilmot_proviso
109088,han_dynasty
102977,kublai_khan
2639,mark_antony
3864,"mary,_queen_of_scots"
2709,byzantine_empire
105161,peloponnesian_war
115409,calvin_coolidge
3535,black_hawk_war
105217,cherokee
160531,barry_goldwater
152390,francisco_pizarro
2919,girolamo_savonarola
162743,byzantine_empire
115710,martin_van_buren
179200,martin_luther
177177,samuel_de_champlain
3150,martin_luther
105322,tecumseh
3206,battle_of_tannenberg
140462,congress_of_vienna
183477,james_g._blaine
185549,jacques_marquette
109781,parthian_empire
183519,babur
183526,konrad_adenauer
148722,han_dynasty
146685,thomas_jefferson
105728,martin_luther
183589,woodrow_wilson
3402,battle_of_blenheim
157024,battle_of_agincourt
107891,claudius
163219,albert_b._fall
3479,diocletian
107954,diocletian
3507,henry_vii_of_england
122297,byzantine_empire
163268,guadalcanal
187852,portugal
187887,jawaharlal_nehru
187894,caligula
187915,henry_vii_of_england
187922,claudius
187936,douglas_macarthur
187950,byzantine_empire
146013,franklin_pierce
167475,hudson's_bay_company
187957,claudius
187964,battle_of_austerlitz
187971,warren_g._harding
122465,chester_a._arthur
1617,franklin_pierce
187999,kellogg-briand_pact
188006,herbert_hoover
188020,thomas_paine
173691,warren_g._harding
116333,franklin_pierce
3731,jawaharlal_nehru
179865,francisco_pizarro
153244,adlai_stevenson_ii
116382,treaty_of_waitangi
155421,barry_goldwater
175924,council_of_trent
186165,meiji_restoration
106316,tammany_hall
147308,calvin_coolidge
1911,monroe_doctrine
3997,prague_spring
147385,ulysses_s._grant
184275,byzantine_empire
4053,byzantine_empire
147427,gadsden_purchase
151529,battle_of_hastings
184310,thirty_years'_war
155666,sherwood_anderson
7161,the_trial
6188,the_brothers_karamazov
116403,walt_whitman
184387,brave_new_world
6223,the_crying_of_lot_49
174202,aldous_huxley
106631,the_wild_duck
188104,the_tin_drum
108745,oscar_wilde
144774,truman_capote
176841,the_trial
108878,the_mystery_of_edwin_drood
139608,hesiod
6510,rudyard_kipling
162162,truman_capote
102781,one_hundred_years_of_solitude
162176,the_brothers_karamazov
6531,the_mayor_of_casterbridge
6573,lady_windermere's_fan
123326,truman_capote
170436,thornton_wilder
4550,henry_james
156429,elegy_written_in_a_country_churchyard
104916,washington_irving
188888,august_strindberg
141792,walter_scott
172564,samuel_taylor_coleridge
107044,henry_wadsworth_longfellow
4655,the_awakening_(chopin_novel)
162568,la_belle_dame_sans_merci
6706,pablo_neruda
121401,titus_andronicus
121422,invisible_man
121457,derek_walcott
103026,the_magic_mountain
4725,rudyard_kipling
164479,a_passage_to_india
148099,sartor_resartus
109200,august_strindberg
164521,doris_lessing
107205,long_day's_journey_into_night
162526,adam_bede_(character)
6881,one_hundred_years_of_solitude
188881,pale_fire
105196,robinson_crusoe
6895,octavio_paz
187194,laurence_sterne
187208,medusa
185164,joseph_conrad
4977,w._somerset_maugham
160636,the_seagull
187201,nadine_gordimer
